0: regulatory--keep-right--g1
1: regulatory--priority-over-oncoming-vehicles--g1
2: regulatory--height-limit--g1
3: regulatory--maximum-speed-limit-35--g2
4: warning--railroad-crossing-with-barriers--g1
5: warning--curve-left--g2
6: warning--falling-rocks-or-debris-right--g1
7: regulatory--keep-right--g4
8: warning--pedestrians-crossing--g4
9: complementary--go-right--g2
10: complementary--keep-left--g1
11: regulatory--maximum-speed-limit-45--g3
12: complementary--chevron-right--g3
13: regulatory--one-way-right--g2
14: regulatory--yield--g1
15: regulatory--one-way-straight--g1
16: warning--curve-right--g1
17: regulatory--pedestrians-only--g2
18: information--emergency-facility--g2
19: regulatory--no-entry--g1
20: warning--railroad-crossing--g3
21: warning--pedestrians-crossing--g5
22: warning--crossroads--g3
23: complementary--distance--g1
24: warning--slippery-road-surface--g1
25: warning--curve-left--g1
26: regulatory--no-stopping--g15
27: information--parking--g1
28: complementary--go-left--g1
29: information--tram-bus-stop--g2
30: warning--crossroads--g1
31: regulatory--no-overtaking--g2
32: warning--railroad-crossing-with-barriers--g2
33: regulatory--stop--g1
34: complementary--trucks-turn-right--g1
35: regulatory--maximum-speed-limit-30--g1
36: regulatory--priority-road--g4
37: regulatory--pedestrians-only--g1
38: warning--pedestrians-crossing--g9
39: warning--junction-with-a-side-road-acute-right--g1
40: regulatory--end-of-maximum-speed-limit-30--g2
41: information--end-of-living-street--g1
42: information--road-bump--g1
43: warning--height-restriction--g2
44: complementary--obstacle-delineator--g2
45: warning--double-curve-first-left--g2
46: regulatory--no-overtaking--g5
47: information--food--g2
48: warning--divided-highway-ends--g2
49: regulatory--turn-right--g1
50: complementary--chevron-left--g1
51: regulatory--no-parking-or-no-stopping--g3
52: warning--roundabout--g1
53: regulatory--no-heavy-goods-vehicles--g1
54: regulatory--maximum-speed-limit-60--g1
55: complementary--maximum-speed-limit-70--g1
56: regulatory--maximum-speed-limit-40--g1
57: warning--road-widens--g1
58: complementary--chevron-right--g1
59: warning--road-bump--g1
